group,system,seed,source_run,result_path,pose_rank,vina_affinity_kcal_mol,vina_rmsd_to_crystal_angstrom,gnina_score_only_vina_kcal_mol,cnn_score,cnn_affinity,cnn_affinity_variance,cnn_vs
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,4,-7.904,7.1274,-7.66416,0.0381960347,4.0688118935,1.4539984465,0.1554124802
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,5,-7.667,7.2623,-7.59883,0.1850969195,4.9960312843,0.4562975168,0.92475003
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,6,-7.41,7.1613,-7.23743,0.102604717,4.6171040535,0.8559703827,0.4737366438
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,7,-7.293,7.0075,-7.7112,0.1384889781,4.7458319664,0.8526714444,0.6572453976
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,8,-7.257,9.0575,-7.22401,0.1367171407,4.8305125237,0.3945812285,0.6604138613
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,9,-7.247,6.9546,-7.17119,0.1263259202,5.0258350372,0.3506314754,0.6348932385
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,10,-7.159,7.8006,-7.59603,0.0337842591,3.5293114185,1.9821754694,0.1192351729
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,11,-7.148,6.8438,-7.56515,0.0822731927,4.2792186737,1.1757017374,0.352064997
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,12,-7.12,7.2525,-7.03732,0.0426563397,4.3076534271,0.8521933556,0.1837487221
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,13,-7.087,7.9827,-7.04085,0.1555390805,4.7172646523,0.6635864973,0.7337189913
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,14,-7.085,7.2252,-7.48011,0.1122618094,5.0331492424,0.2027618438,0.5650304556
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,15,-7.044,7.3091,-7.41449,0.073404327,4.7656135559,0.5037977099,0.3498166502
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,16,-7.015,6.7489,-7.44389,0.0548389219,4.1992359161,1.5713390112,0.2302815765
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,17,-6.976,7.4264,-7.53346,0.2401714772,5.3241429329,0.2718710601,1.2787072659
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,18,-6.94,6.7986,-6.80291,0.1969885528,5.251019001,0.3949926794,1.0343906879
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,19,-6.929,7.2083,-6.67438,0.0428110585,4.1180768013,1.0368789434,0.1762992293
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,20,-6.854,6.596,-6.8544,0.2923794389,5.9324841499,0.0901468471,1.7345364094
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,1,-8.284,7.0205,-8.28684,0.0386954919,4.0849676132,1.3944565058,0.1580698341
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,2,-8.008,7.2911,-7.84093,0.0454183407,4.4667973518,0.8385394216,0.2028745264
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,3,-7.999,6.516,-7.89884,0.1442886591,4.4315800667,1.1573133469,0.6394267678
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,4,-7.848,7.1272,-7.61606,0.0396500565,4.0778164864,1.4260061979,0.1616856605
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,5,-7.65,7.2653,-7.59551,0.1828554869,4.9909000397,0.4581639767,0.9126134515
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,6,-7.401,7.161,-7.23732,0.1070236489,4.6210122108,0.8621218204,0.4945575893
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,7,-7.289,9.0581,-7.16389,0.1623216718,4.9768390656,0.355691433,0.8078488111
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,8,-7.269,6.9932,-7.68311,0.1362852007,4.7675185204,0.8174700737,0.6497422457
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,9,-7.233,6.9479,-7.1672,0.1271791756,5.0250577927,0.3525286615,0.6390827298
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,10,-7.146,6.8307,-7.60184,0.0835105255,4.4175271988,1.0414206982,0.3689100146
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,11,-7.142,7.7471,-6.9838,0.0503434241,4.0440483093,1.2940267324,0.2035912424
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,12,-7.059,7.925,-6.95766,0.1592263132,4.7614245415,0.6059628129,0.7581440806
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,13,-6.95,7.4332,-7.44417,0.0465489216,3.9916687012,1.2924202681,0.1858078688
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,14,-6.943,7.3782,-6.74085,0.2615163922,4.6837382317,0.4494173527,1.2248743773
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,15,-6.92,6.9063,-7.59912,0.0698700175,4.3493819237,1.2152760029,0.3038913906
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,16,-6.908,6.9261,-6.71939,0.0578861237,4.2649827003,1.3073220253,0.2468833178
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,17,-6.902,7.1086,-6.66064,0.1915333569,4.8801350594,0.6983606219,0.9347086549
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,18,-6.751,6.5487,-6.61887,0.0864855498,4.7907981873,0.5861145258,0.4143348038
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,19,-6.7,5.8781,-6.60426,0.0264164135,3.583388567,0.9542470574,0.0946602747
BACE1-457,BACE1_verubecestat,4409,alternate_457_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed4409_ex32/result.json,20,-6.695,7.1487,-6.47831,0.1514706761,4.9950866699,0.7505416274,0.7566091418
