"donor","transcript_id","cell_type","gene_id","is_significant_hit","condition","n_cells_donor","raw_count","gene_total_count","psi","padj_gene","padj_tx","delta_psi","n_cells_expressing_gene"
"SMC052","DDX5-239","Astrocyte","DDX5",FALSE,"Control",130,0,6,0,NA,NA,NA,1
"PO05","DDX5-241","Astrocyte","DDX5",FALSE,"AD",294,4,104,0.0384615384615385,NA,NA,NA,16
"PO11","DDX5-241","Astrocyte","DDX5",FALSE,"AD",183,0,56,0,NA,NA,NA,18
"PO28","DDX5-241","Astrocyte","DDX5",FALSE,"AD",152,1,14,0.0714285714285714,NA,NA,NA,8
"PO41","DDX5-241","Astrocyte","DDX5",FALSE,"AD",294,1,197,0.0050761421319797,NA,NA,NA,48
"PO42","DDX5-241","Astrocyte","DDX5",FALSE,"AD",688,15,174,0.0862068965517241,NA,NA,NA,26
"SMC029","DDX5-241","Astrocyte","DDX5",FALSE,"AD",192,1,309,0.00323624595469256,NA,NA,NA,27
"SMC032","DDX5-241","Astrocyte","DDX5",FALSE,"AD",64,79,236,0.334745762711864,NA,NA,NA,12
"SMC036","DDX5-241","Astrocyte","DDX5",FALSE,"AD",78,0,5,0,NA,NA,NA,4
"SMC038","DDX5-241","Astrocyte","DDX5",FALSE,"AD",244,2,57,0.0350877192982456,NA,NA,NA,9
"SMC039","DDX5-241","Astrocyte","DDX5",FALSE,"AD",158,0,8,0,NA,NA,NA,5
"SMC041","DDX5-241","Astrocyte","DDX5",FALSE,"AD",22,0,0,NA,NA,NA,NA,0
"SMC043","DDX5-241","Astrocyte","DDX5",FALSE,"AD",653,0,88,0,NA,NA,NA,21
"SMC049","DDX5-241","Astrocyte","DDX5",FALSE,"AD",304,0,117,0,NA,NA,NA,31
"PO13","DDX5-241","Astrocyte","DDX5",FALSE,"Control",55,0,9,0,NA,NA,NA,4
"PO15","DDX5-241","Astrocyte","DDX5",FALSE,"Control",150,0,180,0,NA,NA,NA,27
"PO20","DDX5-241","Astrocyte","DDX5",FALSE,"Control",131,2,25,0.08,NA,NA,NA,7
"PO23","DDX5-241","Astrocyte","DDX5",FALSE,"Control",116,1,10,0.1,NA,NA,NA,7
"SMC027","DDX5-241","Astrocyte","DDX5",FALSE,"Control",445,0,690,0,NA,NA,NA,74
"SMC030","DDX5-241","Astrocyte","DDX5",FALSE,"Control",245,46,269,0.171003717472119,NA,NA,NA,48
"SMC033","DDX5-241","Astrocyte","DDX5",FALSE,"Control",524,0,50,0,NA,NA,NA,29
"SMC052","DDX5-241","Astrocyte","DDX5",FALSE,"Control",130,0,6,0,NA,NA,NA,1
"PO05","NTRK2-204","Astrocyte","NTRK2",FALSE,"AD",294,0,36,0,NA,NA,NA,16
"PO11","NTRK2-204","Astrocyte","NTRK2",FALSE,"AD",183,0,2,0,NA,NA,NA,2
"PO28","NTRK2-204","Astrocyte","NTRK2",FALSE,"AD",152,2,20,0.1,NA,NA,NA,15
"PO41","NTRK2-204","Astrocyte","NTRK2",FALSE,"AD",294,19,138,0.13768115942029,NA,NA,NA,39
"PO42","NTRK2-204","Astrocyte","NTRK2",FALSE,"AD",688,0,9,0,NA,NA,NA,12
"SMC029","NTRK2-204","Astrocyte","NTRK2",FALSE,"AD",192,0,11,0,NA,NA,NA,7
"SMC032","NTRK2-204","Astrocyte","NTRK2",FALSE,"AD",64,0,18,0,NA,NA,NA,5
"SMC036","NTRK2-204","Astrocyte","NTRK2",FALSE,"AD",78,0,0,NA,NA,NA,NA,0
"SMC038","NTRK2-204","Astrocyte","NTRK2",FALSE,"AD",244,0,102,0,NA,NA,NA,16
"SMC039","NTRK2-204","Astrocyte","NTRK2",FALSE,"AD",158,0,0,NA,NA,NA,NA,1
"SMC041","NTRK2-204","Astrocyte","NTRK2",FALSE,"AD",22,0,0,NA,NA,NA,NA,0
"SMC043","NTRK2-204","Astrocyte","NTRK2",FALSE,"AD",653,0,129,0,NA,NA,NA,2
"SMC049","NTRK2-204","Astrocyte","NTRK2",FALSE,"AD",304,26,54,0.481481481481481,NA,NA,NA,14
"PO13","NTRK2-204","Astrocyte","NTRK2",FALSE,"Control",55,4,19,0.210526315789474,NA,NA,NA,3
"PO15","NTRK2-204","Astrocyte","NTRK2",FALSE,"Control",150,20,105,0.19047619047619,NA,NA,NA,33
"PO20","NTRK2-204","Astrocyte","NTRK2",FALSE,"Control",131,2,7,0.285714285714286,NA,NA,NA,6
"PO23","NTRK2-204","Astrocyte","NTRK2",FALSE,"Control",116,1,26,0.0384615384615385,NA,NA,NA,8
"SMC027","NTRK2-204","Astrocyte","NTRK2",FALSE,"Control",445,384,1293,0.296983758700696,NA,NA,NA,107
"SMC030","NTRK2-204","Astrocyte","NTRK2",FALSE,"Control",245,3,48,0.0625,NA,NA,NA,28
"SMC033","NTRK2-204","Astrocyte","NTRK2",FALSE,"Control",524,0,2,0,NA,NA,NA,5
"SMC052","NTRK2-204","Astrocyte","NTRK2",FALSE,"Control",130,2,2,1,NA,NA,NA,2
"PO05","NTRK2-211","Astrocyte","NTRK2",FALSE,"AD",294,2,36,0.0555555555555556,NA,NA,NA,16
"PO11","NTRK2-211","Astrocyte","NTRK2",FALSE,"AD",183,0,2,0,NA,NA,NA,2
"PO28","NTRK2-211","Astrocyte","NTRK2",FALSE,"AD",152,9,20,0.45,NA,NA,NA,15
"PO41","NTRK2-211","Astrocyte","NTRK2",FALSE,"AD",294,43,138,0.311594202898551,NA,NA,NA,39
"PO42","NTRK2-211","Astrocyte","NTRK2",FALSE,"AD",688,4,9,0.444444444444444,NA,NA,NA,12
"SMC029","NTRK2-211","Astrocyte","NTRK2",FALSE,"AD",192,0,11,0,NA,NA,NA,7
"SMC032","NTRK2-211","Astrocyte","NTRK2",FALSE,"AD",64,2,18,0.111111111111111,NA,NA,NA,5
"SMC036","NTRK2-211","Astrocyte","NTRK2",FALSE,"AD",78,0,0,NA,NA,NA,NA,0
