gene_id,cell_type,log2FC,pval,padj,score
GLUL,Vascular_cell,0.81214416,0.49896229860376107,0.9849978674961947,0.6761234
ATG9A,Vascular_cell,1.279476,0.49896229860376107,0.9849978674961947,0.6761234
SLC24A1,Vascular_cell,1.6464846,0.49896229860376107,0.9849978674961947,0.6761234
HK2,Vascular_cell,1.3299611,0.49896229860376107,0.9849978674961947,0.6761234
IRAK1,Vascular_cell,2.801812,0.49896229860376107,0.9849978674961947,0.6761234
SNRNP35,Vascular_cell,1.4322495,0.49896229860376107,0.9849978674961947,0.6761234
ASAH1,Vascular_cell,0.4430754,0.49896229860376107,0.9849978674961947,0.6761234
CD63,Vascular_cell,1.6053165,0.49896229860376107,0.9849978674961947,0.6761234
POLR2J3,Vascular_cell,0.7317021,0.49896229860376107,0.9849978674961947,0.6761234
NUP160,Vascular_cell,0.8002389,0.49896229860376107,0.9849978674961947,0.6761234
CNTLN,Vascular_cell,0.5517632,0.49896229860376107,0.9849978674961947,0.6761234
ENSG00000271860,Vascular_cell,1.9654125,0.49896229860376107,0.9849978674961947,0.6761234
WAC,Vascular_cell,0.56671965,0.49896229860376107,0.9849978674961947,0.6761234
VCAN,Vascular_cell,1.0558783,0.49896229860376107,0.9849978674961947,0.6761234
ZNG1E,Vascular_cell,0.9307825,0.49896229860376107,0.9849978674961947,0.6761234
UGCG,Vascular_cell,0.85602987,0.49896229860376107,0.9849978674961947,0.6761234
ANXA5,Vascular_cell,0.16999476,0.49896229860376107,0.9849978674961947,0.6761234
HNRNPH3,Vascular_cell,0.37589166,0.49896229860376107,0.9849978674961947,0.6761234
CCNL1,Vascular_cell,0.48596096,0.49896229860376107,0.9849978674961947,0.6761234
HIP1R,Vascular_cell,0.6874732,0.49896229860376107,0.9849978674961947,0.6761234
FPGS,Vascular_cell,0.41479152,0.49896229860376107,0.9849978674961947,0.6761234
CSMD1,Vascular_cell,-0.22230549,0.49896229860376107,0.9849978674961947,0.6761234
CTSO,Vascular_cell,0.5508337,0.49896229860376107,0.9849978674961947,0.6761234
SRBD1,Vascular_cell,0.7901658,0.49896229860376107,0.9849978674961947,0.6761234
KIF1A,Vascular_cell,1.2381039,0.49896229860376107,0.9849978674961947,0.6761234
