"donor","transcript_id","cell_type","gene_id","is_significant_hit","condition","n_cells_donor","raw_count","gene_total_count","psi","padj_gene","padj_tx","delta_psi","n_cells_expressing_gene"
"PO28","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"AD",1851,250,302,0.827814569536424,0.0332671598587754,0,-0.0843616936639449,193
"PO41","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"AD",973,145,168,0.863095238095238,0.0332671598587754,0,-0.0843616936639449,119
"PO42","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"AD",1303,26,37,0.702702702702703,0.0332671598587754,0,-0.0843616936639449,30
"SMC029","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"AD",150,13,16,0.8125,0.0332671598587754,0,-0.0843616936639449,8
"SMC032","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"AD",578,69,88,0.784090909090909,0.0332671598587754,0,-0.0843616936639449,64
"SMC036","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"AD",206,39,42,0.928571428571429,0.0332671598587754,0,-0.0843616936639449,9
"SMC038","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"AD",1640,691,1250,0.5528,0.0332671598587754,0,-0.0843616936639449,313
"SMC039","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"AD",413,27,35,0.771428571428571,0.0332671598587754,0,-0.0843616936639449,10
"SMC041","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"AD",1746,161,322,0.5,0.0332671598587754,0,-0.0843616936639449,66
"SMC043","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"AD",105,1,2,0.5,0.0332671598587754,0,-0.0843616936639449,2
"SMC049","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"AD",4070,3644,4021,0.906242228301418,0.0332671598587754,0,-0.0843616936639449,1264
"PO13","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"Control",777,10,14,0.714285714285714,0.0332671598587754,0,-0.0843616936639449,12
"PO15","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"Control",744,129,146,0.883561643835616,0.0332671598587754,0,-0.0843616936639449,105
"PO20","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"Control",1454,33,44,0.75,0.0332671598587754,0,-0.0843616936639449,33
"PO23","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"Control",1605,493,538,0.91635687732342,0.0332671598587754,0,-0.0843616936639449,318
"SMC027","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"Control",129,93,115,0.808695652173913,0.0332671598587754,0,-0.0843616936639449,31
"SMC030","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"Control",915,116,153,0.758169934640523,0.0332671598587754,0,-0.0843616936639449,122
"SMC033","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"Control",2797,430,509,0.844793713163065,0.0332671598587754,0,-0.0843616936639449,262
"SMC052","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"Control",4785,720,886,0.812641083521445,0.0332671598587754,0,-0.0843616936639449,346
"PO05","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"AD",1197,0,47,0,NA,NA,NA,42
"PO11","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"AD",1165,0,47,0,NA,NA,NA,37
"PO28","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"AD",1851,1,302,0.0033112582781457,NA,NA,NA,193
"PO41","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"AD",973,0,168,0,NA,NA,NA,119
"PO42","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"AD",1303,0,37,0,NA,NA,NA,30
"SMC029","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"AD",150,0,16,0,NA,NA,NA,8
"SMC032","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"AD",578,0,88,0,NA,NA,NA,64
"SMC036","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"AD",206,0,42,0,NA,NA,NA,9
"SMC038","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"AD",1640,0,1250,0,NA,NA,NA,313
"SMC039","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"AD",413,0,35,0,NA,NA,NA,10
"SMC041","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"AD",1746,0,322,0,NA,NA,NA,66
"SMC043","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"AD",105,0,2,0,NA,NA,NA,2
"SMC049","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"AD",4070,3,4021,0.000746083063914449,NA,NA,NA,1264
"PO13","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"Control",777,0,14,0,NA,NA,NA,12
"PO15","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"Control",744,0,146,0,NA,NA,NA,105
"PO20","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"Control",1454,0,44,0,NA,NA,NA,33
"PO23","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"Control",1605,0,538,0,NA,NA,NA,318
"SMC027","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"Control",129,0,115,0,NA,NA,NA,31
"SMC030","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"Control",915,0,153,0,NA,NA,NA,122
"SMC033","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"Control",2797,0,509,0,NA,NA,NA,262
"SMC052","CAMK2B-219","Excitatory_neuron","CAMK2B",FALSE,"Control",4785,0,886,0,NA,NA,NA,346
"PO05","CAMK2B-224","Excitatory_neuron","CAMK2B",FALSE,"AD",1197,0,47,0,NA,NA,NA,42
"PO11","CAMK2B-224","Excitatory_neuron","CAMK2B",FALSE,"AD",1165,0,47,0,NA,NA,NA,37
"PO28","CAMK2B-224","Excitatory_neuron","CAMK2B",FALSE,"AD",1851,0,302,0,NA,NA,NA,193
